name,type,category,age,structure,morphology,size,reserve,lat,long,status1983,size_viz,res_viz
LARISH,petrol,category 3,ordovician - triasic,Saharan platform,petrol and gaz deposit,< 500 000 000 T,limited,31.751792837779998,9.893075705870000,under-research,"500000000",
LMAKHROUGA,gaz,category 3,ordovician - triasic,Saharan platform,petrol and gaz deposit,< 5 000 000 M³,limited,31.872834351390001,10.111090677669999,under-research,"5000000",
LFRANIG,gaz,category 1,ordovician,Saharan platform,petrol and gaz deposit,> 100 000 000 M³,limited,33.410203884680001,8.373240023659999,under-research,"100000000",
SABRIYYA,petrol,category 3,ordovician,Saharan platform,petrol and gaz deposit,< 500 000 000 T,limited,33.400513066099997,8.550204282119999,under-research,"500000000",
LARISH,gaz,category 3,ordovician - triasic,Saharan platform,petrol and gaz deposit,< 5 000 000 M³,limited,31.753045744929999,9.841150468890000,under-research,"5000000",
DEBBISH,petrol,category 3,ordovician - triasic,Saharan platform,petrol and gaz deposit,< 500 000 000 T,limited,31.711820879699999,9.532574523050000,under-research,"500000000",
DEBBISH,gaz,category 3,ordovician - triasic,Saharan platform,petrol and gaz deposit,< 5 000 000 M³,limited,31.711826845459999,9.475235526270000,under-research,"5000000",
LBORMA,petrol,category 1,ordovician - triasic,Saharan platform,petrol and gaz deposit,> 10 000 000 000 T,25-45%,31.721349515949999,9.313306614549999,in-operation,"10000000000","35"
LBORMA,gaz,category 2,ordovician - triasic,Saharan platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,31.716726603750001,9.226150495680001,under-research,"95250000",
SABRIYYA,gaz,category 2,ordovician,Saharan platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,33.406110901950001,8.484794149840004,under-research,"95250000",
TAMESMIDA,petrol,category 3,cretaceous,Mole of EL GASRIN,petrol and gaz deposit,< 500 000 000 T,8-25%,35.121602680140001,8.498858611630000,in-operation,"500000000","17"
SIDI LBHARA,gaz,category 2,cretaceous - eocene,eastern platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,34.878022208769998,10.377184213030000,under-research,"95250000",
SIDI LITEYIM,petrol,category 2,cretaceous - eocene,eastern platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,8-25%,34.873756223960001,10.508266255920001,in-operation,,"17"
SIDI AGAREB,gaz,category 2,cretaceous - eocene,eastern platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,34.784079258840002,10.435658551470000,under-research,"95250000",
SIDI LITEYIM,gaz,category 2,cretaceous - eocene,eastern platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,34.880016732210002,10.590417424170001,under-research,"95250000",
GREMDA,petrol,category 3,cretaceous - eocene,eastern platform,petrol and gaz deposit,< 500 000 000 T,limited,34.785169749060003,10.739490831980000,under-research,"500000000",
SIDI ABDERRAHMEN,gaz,category 3,cretaceous,eastern platform,petrol and gaz deposit,< 5 000 000 M³,8-25%,36.679395134849997,10.695597064119999,in-operation,"5000000","17"
TAZERKA,petrol,category 2,miocene,eastern platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,limited,36.560314857220000,11.594282776129999,under-research,,
BIRSA,petrol,category 2,miocene,eastern platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,limited,36.400237153930000,11.701693123369999,under-research,,
KOSMOS,petrol,category 2,miocene,eastern platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,limited,36.241676277480003,11.455402111870001,under-research,,
HALQ IL MENZIL,petrol,category 2,miocene,eastern platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,limited,35.917664330059999,11.549776534590000,under-research,,
SIDI AHMED,plomb - zinc,category 1,eocene - oligocene,Miocene basin,vein deposit,> 400 000 T,limited,36.971878272600001,9.168006976879999,unknown,"400000",
J. BEN AMARA,plomb - zinc,category 2,cretaceous,Miocene basin,vein deposit,100 000 - 400 000 T,limited,36.852086085929997,9.044714591600000,unknown,"325000",
,plomb - zinc,category 3,triasic,The Numidian Flysch,vein deposit,10 000 - 100 000 T,limited,36.962544848299999,8.903558358220000,unknown,"91000",
,copper,category 3,quaternary,Miocene basin,vein deposit,500 - 2000 T,limited,36.647369219280002,9.088695257610000,unknown,"1625",
DJEBBA,plomb - zinc,category 3,cretaceous,cretaceous - tertiary basin,vein deposit,10 000 - 100 000 T,limited,36.502610963469998,9.157798196900000,unknown,"91000",
SHWESHWIYYA,iron,category 3,neogene,Miocene basin,vein deposit,500 000 - 5 000 000 T,limited,36.577335398099997,8.674067743409999,unknown,,
SHWESHWIYYA,copper,category 3,neogene,Miocene basin,vein deposit,500 - 2000 T,limited,36.570987491149999,8.658552915070000,unknown,"1625",
GALITE ISLANDS,copper,category 3,neogene,cristallyine basement,vein deposit,500 - 2000 T,limited,37.521167139859998,8.906487983040000,unknown,"1625",
LAKHWET,plomb - zinc,category 1,triasic,cretaceous - tertiary basin,vein deposit,> 400 000 T,35-75%,36.312852492829997,9.291003912420001,unknown,"400000","55"
WED LMADEN,plomb - zinc,category 2,triasic,Miocene basin,vein deposit,100 000 - 400 000 T,limited,36.573138870560001,8.497349743559999,unknown,"325000",
FEJ HASEN,plomb - zinc,category 1,eocene - oligocene,cretaceous - tertiary basin,vein deposit,> 400 000 T,35-75%,36.400991953629998,8.483651228819999,unknown,"400000","55"
TWIREF,plomb - zinc,category 3,eocene - oligocene,cretaceous - tertiary basin,vein deposit,10 000 - 100 000 T,limited,36.345941809410000,8.610416508760000,unknown,"91000",
J. STAH,fluorite,category 3,cretaceous,Mole of ZAGHWEN,vein deposit,undetermined,limited,36.345677857790001,10.060112811360000,unknown,,
J. STAH,plomb - zinc,category 3,jurassic,Mole of ZAGHWEN,vein deposit,10 000 - 100 000 T,limited,36.345186490739998,10.081704955519999,unknown,"91000",
HAMMEM JDIDI,barite - strontianite,category 3,neogene,Mole of ZAGHWEN,vein deposit,undetermined,limited,36.401392062939998,10.370572357630000,unknown,,
