name,type,category,age,structure,morphology,size,reserve,lat,long,status1983,size_viz,res_viz
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,35.993184061809998,8.447175414120000,unknown,"10000",
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.001623978420000,8.513725230240000,unknown,"10000",
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,35.962298369460001,8.432165330840000,unknown,"10000",
,plomb - zinc,index,triasic,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.009584785139999,8.373537901110000,unknown,"10000",
,copper,index,cretaceous,cretaceous - tertiary basin,unclassified,< 500 T,limited,36.012925520120000,8.329856600839999,unknown,"500",
,phosphate,index,cretaceous,cretaceous - tertiary basin,unclassified,< 1 000 000 T,limited,35.745416587199998,9.111622286030000,unknown,"1000000",
,lignite,index,eocene - oligocene,Mole of EL GASRIN,unclassified,undetermined,limited,35.675020581230001,9.262308855070000,unknown,,
,plomb - zinc,index,triasic,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.465949424229997,9.455700701590001,unknown,"10000",
,plomb - zinc,index,neogene,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.473916428199999,9.426547977829999,unknown,"10000",
,plomb - zinc,index,neogene,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.467100920420002,9.365062770810001,unknown,"10000",
,plomb - zinc,index,cretaceous,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.409300141439999,9.725811598260000,unknown,"10000",
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,35.336627152170003,9.786214359080001,unknown,"10000",
,plomb - zinc,index,quaternary,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,35.308525100259999,9.707118040210000,unknown,"10000",
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,35.271004798740002,9.809893248650001,unknown,"10000",
,plomb - zinc,index,cretaceous,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.132291979169999,9.691745090340000,unknown,"10000",
,plomb - zinc,index,cretaceous,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.124615157489998,9.538069922709999,unknown,"10000",
,plomb - zinc,index,cretaceous,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.445633976750003,9.282914052580001,unknown,"10000",
,plomb - zinc,index,cretaceous,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.425065446289999,9.273714268000001,unknown,"10000",
,mercury,index,cretaceous,Mole of EL GASRIN,unclassified,< 500 T,limited,35.392528099650001,9.253358497690000,unknown,"500",
,fluorite,index,cretaceous,Mole of EL GASRIN,unclassified,undetermined,limited,35.424907963309998,9.241619509990000,unknown,,
,fluorite,index,cretaceous,Mole of EL GASRIN,unclassified,undetermined,limited,35.332239661899997,9.179466763460001,unknown,,
,plomb - zinc,index,neogene,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.507371696480000,8.899562445030000,unknown,"10000",
,plomb - zinc,index,neogene,Mole of EL GASRIN,unclassified,< 10 000 T,limited,35.478907689030002,8.958309314290000,unknown,"10000",
,phosphate,index,quaternary,cretaceous - tertiary basin,unclassified,< 1 000 000 T,limited,35.792320000629999,8.362376156780000,unknown,"1000000",
